model,experiment,property,n,answer_rate,refusal_rate,parse_fail_rate,overall_acc,acc_given_answered
gemini,exp2.5_grounded,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp2.5_grounded,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp4_cov,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp4_cov,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp5_structured,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp5_structured,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp1_baseline,band_gap,200.0,0.82,0.18,0.54,0.005,0.006097560975609756
gpt,exp1_baseline,formation_energy_per_atom,200.0,0.82,0.18,0.17,0.04,0.04878048780487805
gpt,exp2_grounded,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp2_grounded,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp3_self_correction,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp3_self_correction,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp4_cov,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp4_cov,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp5_structured,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp5_structured,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp1_baseline,band_gap,200.0,0.98,0.02,0.955,0.0,0.0
groq,exp1_baseline,formation_energy_per_atom,200.0,0.63,0.37,0.05,0.0,0.0
groq,exp2_grounded,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp2_grounded,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp3_self_correction,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp3_self_correction,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp4_cov,band_gap,200.0,1.0,0.0,0.0,0.89,0.89
groq,exp4_cov,formation_energy_per_atom,200.0,1.0,0.0,0.0,0.99,0.99
groq,exp5_structured,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp5_structured,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
