model,exp,task,n,answer_rate,parse_fail_rate,refusal_rate,overall_acc,acc_given_answered
gemini,exp1_baseline,band_gap,200,1.0,0.0,0.0,0.0,0.0
gemini,exp2_grounded,band_gap,200,1.0,0.0,0.0,1.0,1.0
gemini,exp4_cov,band_gap,200,1.0,0.0,0.0,1.0,1.0
gemini,exp5_structured,band_gap,200,1.0,0.0,0.0,1.0,1.0
gpt,exp1_baseline,band_gap,200,0.94,0.0,0.06,0.005,0.005319148936170213
gpt,exp2_grounded,band_gap,200,1.0,0.0,0.0,1.0,1.0
gpt,exp3_self_correction,band_gap,200,1.0,0.0,0.0,1.0,1.0
gpt,exp4_cov,band_gap,200,1.0,0.0,0.0,1.0,1.0
gpt,exp5_structured,band_gap,200,1.0,0.0,0.0,1.0,1.0
groq,exp1_baseline,band_gap,200,0.99,0.0,0.01,0.0,0.0
groq,exp2_grounded,band_gap,200,1.0,0.0,0.0,1.0,1.0
groq,exp3_self_correction,band_gap,200,1.0,0.0,0.0,1.0,1.0
groq,exp4_cov,band_gap,200,1.0,0.0,0.0,1.0,1.0
groq,exp5_structured,band_gap,200,1.0,0.0,0.0,1.0,1.0
gemini,exp1_baseline,formation_energy_per_atom,200,1.0,0.0,0.0,0.02,0.02
gemini,exp2_grounded,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
gemini,exp3_self_correction,formation_energy_per_atom,30,1.0,0.0,0.0,1.0,1.0
gemini,exp4_cov,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
gemini,exp5_structured,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
gpt,exp1_baseline,formation_energy_per_atom,200,0.96,0.0,0.04,0.04,0.041666666666666664
gpt,exp2_grounded,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
gpt,exp3_self_correction,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
gpt,exp4_cov,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
gpt,exp5_structured,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
groq,exp1_baseline,formation_energy_per_atom,200,0.95,0.0,0.05,0.0,0.0
groq,exp2_grounded,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
groq,exp3_self_correction,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
groq,exp4_cov,formation_energy_per_atom,200,1.0,0.0,0.0,0.995,0.995
groq,exp5_structured,formation_energy_per_atom,200,1.0,0.0,0.0,1.0,1.0
