mp_id,tool_record_json,raw_output,model,experiment,ts,gt_json,refusal,parse_fail,schema_fail,value_mismatch,constraint_violation,is_correct
mp-619575,"{""material_id"": ""mp-619575"", ""band_gap"": 2.5175, ""formation_energy_per_atom"": -0.6182932559375001, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-619575"",
  ""band_gap_eV"": 2.5175,
  ""formation_energy_per_atom_eV"": -0.6182932559375001,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630067.836361,"{""material_id"": ""mp-619575"", ""band_gap_eV"": 2.5175, ""formation_energy_per_atom_eV"": -0.6182932559375001, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-9851,"{""material_id"": ""mp-9851"", ""band_gap"": 0.1063, ""formation_energy_per_atom"": -0.630045229146825, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-9851"",
  ""band_gap_eV"": 0.1063,
  ""formation_energy_per_atom_eV"": -0.630045229146825,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630069.372588,"{""material_id"": ""mp-9851"", ""band_gap_eV"": 0.1063, ""formation_energy_per_atom_eV"": -0.630045229146825, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-2793,"{""material_id"": ""mp-2793"", ""band_gap"": 0.262799999999999, ""formation_energy_per_atom"": -0.140219074531245, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-2793"",
  ""band_gap_eV"": 0.2628,
  ""formation_energy_per_atom_eV"": -0.140219074531245,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630070.8057249,"{""material_id"": ""mp-2793"", ""band_gap_eV"": 0.262799999999999, ""formation_energy_per_atom_eV"": -0.140219074531245, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-23184,"{""material_id"": ""mp-23184"", ""band_gap"": 4.7135, ""formation_energy_per_atom"": -1.0426612775, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-23184"",
  ""band_gap_eV"": 4.7135,
  ""formation_energy_per_atom_eV"": -1.0426612775,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630072.2778869,"{""material_id"": ""mp-23184"", ""band_gap_eV"": 4.7135, ""formation_energy_per_atom_eV"": -1.0426612775, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-1213622,"{""material_id"": ""mp-1213622"", ""band_gap"": 0.5263, ""formation_energy_per_atom"": -1.5970489985714291, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-1213622"",
  ""band_gap_eV"": 0.5263,
  ""formation_energy_per_atom_eV"": -1.5970489985714291,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630073.752795,"{""material_id"": ""mp-1213622"", ""band_gap_eV"": 0.5263, ""formation_energy_per_atom_eV"": -1.5970489985714291, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-30140,"{""material_id"": ""mp-30140"", ""band_gap"": 4.1443, ""formation_energy_per_atom"": -0.836349655000001, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-30140"",
  ""band_gap_eV"": 4.1443,
  ""formation_energy_per_atom_eV"": -0.836349655000001,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630075.211861,"{""material_id"": ""mp-30140"", ""band_gap_eV"": 4.1443, ""formation_energy_per_atom_eV"": -0.836349655000001, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-1232276,"{""material_id"": ""mp-1232276"", ""band_gap"": 0.4328, ""formation_energy_per_atom"": -2.021422001041666, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-1232276"",
  ""band_gap_eV"": 0.4328,
  ""formation_energy_per_atom_eV"": -2.021422001041666,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630076.749095,"{""material_id"": ""mp-1232276"", ""band_gap_eV"": 0.4328, ""formation_energy_per_atom_eV"": -2.021422001041666, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-1227290,"{""material_id"": ""mp-1227290"", ""band_gap"": 0.1101, ""formation_energy_per_atom"": -0.006925372499999, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-1227290"",
  ""band_gap_eV"": 0.1101,
  ""formation_energy_per_atom_eV"": -0.006925372499999,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630078.281837,"{""material_id"": ""mp-1227290"", ""band_gap_eV"": 0.1101, ""formation_energy_per_atom_eV"": -0.006925372499999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-1170,"{""material_id"": ""mp-1170"", ""band_gap"": 1.514799999999999, ""formation_energy_per_atom"": -0.473969728541665, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-1170"",
  ""band_gap_eV"": 1.5148,
  ""formation_energy_per_atom_eV"": -0.473969728541665,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630079.819573,"{""material_id"": ""mp-1170"", ""band_gap_eV"": 1.514799999999999, ""formation_energy_per_atom_eV"": -0.473969728541665, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
mp-32633,"{""material_id"": ""mp-32633"", ""band_gap"": 0.5265000000000001, ""formation_energy_per_atom"": -1.930073411158088, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-32633"",
  ""band_gap_eV"": 0.5265,
  ""formation_energy_per_atom_eV"": -1.930073411158088,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp5_hard_structured,1770630081.356159,"{""material_id"": ""mp-32633"", ""band_gap_eV"": 0.5265000000000001, ""formation_energy_per_atom_eV"": -1.930073411158088, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",False,False,False,False,False,True
