mp_id,raw_output,model,experiment,ts
mp-619575,"```json
{
  ""material_id"": ""mp-619575"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.1624,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627565.2715409
mp-9851,"```json
{
  ""material_id"": ""mp-9851"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.02521,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627566.710401
mp-2793,"```json
{
  ""material_id"": ""mp-2793"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.15823316,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627568.3456352
mp-23184,"```json
{
  ""material_id"": ""mp-23184"",
  ""band_gap_eV"": 1.5934,
  ""formation_energy_per_atom_eV"": -0.0608,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.000448,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627569.881587
mp-1213622,"```json
{
  ""material_id"": ""mp-1213622"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.11890711694444444,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627571.5208058
mp-30140,"```json
{
  ""material_id"": ""mp-30140"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.17501694,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627573.052397
mp-1232276,"```json
{
  ""material_id"": ""mp-1232276"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0000030315,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627574.59185
mp-1227290,"```json
{
  ""material_id"": ""mp-1227290"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.01276836,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627576.0255558
mp-1170,"```json
{
  ""material_id"": ""mp-1170"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.00438915,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627577.460459
mp-32633,"```json
{
  ""material_id"": ""mp-32633"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.00135254,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627578.985975
mp-1195922,"```json
{
  ""material_id"": ""mp-1195922"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.04335948400000001,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627580.599844
mp-254,"```json
{
  ""material_id"": ""mp-254"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.04137164,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627582.683946
mp-18299,"```json
{
  ""material_id"": ""mp-18299"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.023125,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.000276,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627584.4227781
mp-23185,"```json
{
  ""material_id"": ""mp-23185"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.01179747,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627585.9552388
mp-23290,"```json
{
  ""material_id"": ""mp-23290"",
  ""band_gap_eV"": 1.121,
  ""formation_energy_per_atom_eV"": -0.19994,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00029,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627587.491529
mp-30031,"```json
{
  ""material_id"": ""mp-30031"",
  ""band_gap_eV"": 1.107,
  ""formation_energy_per_atom_eV"": -0.1798,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00114,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627588.9283898
mp-555908,"```json
{
  ""material_id"": ""mp-555908"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.050672475,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627590.566967
mp-22398,"```json
{
  ""material_id"": ""mp-22398"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.110765349,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 1e-6,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627592.001111
mp-27628,"```json
{
  ""material_id"": ""mp-27628"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.3824861,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627593.537384
