mp_id,raw_output,model,experiment,ts,override_applied,fail_reasons
mp-619575,"{""material_id"": ""mp-619575"", ""band_gap_eV"": 2.5175, ""formation_energy_per_atom_eV"": -0.6182932559375001, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.739417,False,
mp-9851,"{""material_id"": ""mp-9851"", ""band_gap_eV"": 0.1063, ""formation_energy_per_atom_eV"": -0.630045229146825, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.739566,False,
mp-2793,"{""material_id"": ""mp-2793"", ""band_gap_eV"": 0.2628, ""formation_energy_per_atom_eV"": -0.140219074531245, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.739701,False,
mp-23184,"{""material_id"": ""mp-23184"", ""band_gap_eV"": 4.7135, ""formation_energy_per_atom_eV"": -1.0426612775, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.739821,False,
mp-1213622,"{""material_id"": ""mp-1213622"", ""band_gap_eV"": 0.5263, ""formation_energy_per_atom_eV"": -1.5970489985714291, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7399192,False,
mp-30140,"{""material_id"": ""mp-30140"", ""band_gap_eV"": 4.1443, ""formation_energy_per_atom_eV"": -0.836349655, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.740003,False,
mp-1232276,"{""material_id"": ""mp-1232276"", ""band_gap_eV"": 0.4328, ""formation_energy_per_atom_eV"": -2.021422001041666, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7400808,False,
mp-1227290,"{""material_id"": ""mp-1227290"", ""band_gap_eV"": 0.1101, ""formation_energy_per_atom_eV"": -0.006925372499999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.740188,False,
mp-1170,"{""material_id"": ""mp-1170"", ""band_gap_eV"": 1.5148, ""formation_energy_per_atom_eV"": -0.473969728541665, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.740294,False,
mp-32633,"{""material_id"": ""mp-32633"", ""band_gap_eV"": 0.5265, ""formation_energy_per_atom_eV"": -1.930073411158088, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.740372,False,
mp-1195922,"{""material_id"": ""mp-1195922"", ""band_gap_eV"": 0.376, ""formation_energy_per_atom_eV"": -0.417257172291664, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7404459,False,
mp-254,"{""material_id"": ""mp-254"", ""band_gap_eV"": 7.6164, ""formation_energy_per_atom_eV"": -4.452365858958333, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7405171,False,
mp-18299,"{""material_id"": ""mp-18299"", ""band_gap_eV"": 0.2155, ""formation_energy_per_atom_eV"": -3.992617684583336, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.74059,False,
