mp_id,tool_record_json,raw_output,model,experiment,ts
mp-619575,"{""material_id"": ""mp-619575"", ""band_gap"": 2.5175, ""formation_energy_per_atom"": -0.6182932559375001, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-619575"",
  ""band_gap_eV"": 2.5175,
  ""formation_energy_per_atom_eV"": -0.6182932559375001,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630376.8913999
mp-9851,"{""material_id"": ""mp-9851"", ""band_gap"": 0.1063, ""formation_energy_per_atom"": -0.630045229146825, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-9851"",
  ""band_gap_eV"": 0.1063,
  ""formation_energy_per_atom_eV"": -0.630045229146825,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630378.532127
mp-2793,"{""material_id"": ""mp-2793"", ""band_gap"": 0.262799999999999, ""formation_energy_per_atom"": -0.140219074531245, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-2793"",
  ""band_gap_eV"": 0.2628,
  ""formation_energy_per_atom_eV"": -0.140219074531245,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630380.0312169
mp-23184,"{""material_id"": ""mp-23184"", ""band_gap"": 4.7135, ""formation_energy_per_atom"": -1.0426612775, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","{""material_id"": ""mp-23184"", ""band_gap_eV"": 4.7135, ""formation_energy_per_atom_eV"": -1.0426612775, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp4_hard_cove_selfcheck,1770630381.499109
mp-1213622,"{""material_id"": ""mp-1213622"", ""band_gap"": 0.5263, ""formation_energy_per_atom"": -1.5970489985714291, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-1213622"",
  ""band_gap_eV"": 0.5263,
  ""formation_energy_per_atom_eV"": -1.5970489985714291,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630382.896082
mp-30140,"{""material_id"": ""mp-30140"", ""band_gap"": 4.1443, ""formation_energy_per_atom"": -0.836349655000001, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
    ""material_id"": ""mp-30140"",
    ""band_gap_eV"": 4.1443,
    ""formation_energy_per_atom_eV"": -0.836349655,
    ""is_metal"": false,
    ""energy_above_hull_eV"": 0.0,
    ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630384.3492448
mp-1232276,"{""material_id"": ""mp-1232276"", ""band_gap"": 0.4328, ""formation_energy_per_atom"": -2.021422001041666, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-1232276"",
  ""band_gap_eV"": 0.4328,
  ""formation_energy_per_atom_eV"": -2.021422001041666,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630385.8443022
mp-1227290,"{""material_id"": ""mp-1227290"", ""band_gap"": 0.1101, ""formation_energy_per_atom"": -0.006925372499999, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
    ""material_id"": ""mp-1227290"",
    ""band_gap_eV"": 0.1101,
    ""formation_energy_per_atom_eV"": -0.006925372499999,
    ""is_metal"": false,
    ""energy_above_hull_eV"": 0.0,
    ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630387.338037
mp-1170,"{""material_id"": ""mp-1170"", ""band_gap"": 1.514799999999999, ""formation_energy_per_atom"": -0.473969728541665, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
  ""material_id"": ""mp-1170"",
  ""band_gap_eV"": 1.5148,
  ""formation_energy_per_atom_eV"": -0.473969728541665,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630388.870763
mp-32633,"{""material_id"": ""mp-32633"", ""band_gap"": 0.5265000000000001, ""formation_energy_per_atom"": -1.930073411158088, ""is_metal"": false, ""energy_above_hull"": 0.0, ""is_stable"": true, ""units"": {""band_gap"": ""eV"", ""formation_energy_per_atom"": ""eV/atom"", ""energy_above_hull"": ""eV""}}","```json
{
    ""material_id"": ""mp-32633"",
    ""band_gap_eV"": 0.5265,
    ""formation_energy_per_atom_eV"": -1.930073411158088,
    ""is_metal"": false,
    ""energy_above_hull_eV"": 0.0,
    ""is_stable"": true
}
```",gemini,exp4_hard_cove_selfcheck,1770630390.513249
