run_id,setting,task,material_id,template_id,query,gt_value,raw_output,pred_value,refusal,parse_fail,label,latency_s,ts,error_type,notes
20251224_103747,A_no_tool,formation_energy_per_atom,mp-556516,1,Give the formation energy per atom of mp-556516 in eV/atom. No extra text.,-0.505116372129634,3.75,3.75,False,False,wrong_value,0.5108258724212646,1766541833.706551,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-865194,2,Provide formation_energy_per_atom for mp-865194 (unit: eV/atom). Only the number.,-4.181989037499999,5.965194,5.965194,False,False,wrong_value,0.7045567035675049,1766541886.3714,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-1232276,1,Give the formation energy per atom of mp-1232276 in eV/atom. No extra text.,-2.021422001041666,3.95,3.95,False,False,wrong_value,0.7150368690490723,1766541785.5752609,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-23261,2,Provide formation_energy_per_atom for mp-23261 (unit: eV/atom). Only the number.,-0.7564620653571411,5.515,5.515,False,False,wrong_value,0.8168399333953857,1766541809.844862,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-27358,2,Provide formation_energy_per_atom for mp-27358 (unit: eV/atom). Only the number.,-1.022062649955356,5.515,5.515,False,False,wrong_value,0.7159206867218018,1766541872.722687,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-1443,2,Provide formation_energy_per_atom for mp-1443 (unit: eV/atom). Only the number.,-2.537928646818182,5.5166,5.5166,False,False,wrong_value,0.5174140930175781,1766541919.3826811,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-573812,2,Provide formation_energy_per_atom for mp-573812 (unit: eV/atom). Only the number.,-0.28239570742611,5.93555,5.93555,False,False,wrong_value,0.8131937980651855,1766541853.571687,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-1968,2,Provide formation_energy_per_atom for mp-1968 (unit: eV/atom). Only the number.,-3.8759289195,4.71555,4.71555,False,False,wrong_value,0.6947548389434814,1766541895.250666,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-15954,1,Give the formation energy per atom of mp-15954 in eV/atom. No extra text.,-0.5725928316666651,0.045,0.045,False,False,wrong_value,0.5117833614349365,1766541915.8360589,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-1100,0,What is the band gap (eV) of material mp-1100? Answer with a single number.,1.0375,1.1,1.1,False,False,wrong_value,0.518975019454956,1766541714.71905,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-1105,0,What is the band gap (eV) of material mp-1105? Answer with a single number.,2.2352,1.1,1.1,False,False,wrong_value,0.7153348922729492,1766541780.353175,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-1205121,2,Provide formation_energy_per_atom for mp-1205121 (unit: eV/atom). Only the number.,-0.510760389375001,5.965555555555555,5.965555555555555,False,False,wrong_value,0.928745985031128,1766541800.115934,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-504759,2,Provide the band gap for mp-504759 (unit: eV). Only the number.,0.9911,1.75,1.75,False,False,wrong_value,0.4663691520690918,1766541741.7040908,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-32755,0,What is the formation energy per atom (eV/atom) of material mp-32755? Answer with a single number.,-1.857414943749999,0.04,0.04,False,False,wrong_value,0.7418270111083984,1766541883.45902,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-23205,2,Provide formation_energy_per_atom for mp-23205 (unit: eV/atom). Only the number.,-1.3037782916666671,5.586,5.586,False,False,wrong_value,0.5095629692077637,1766541888.379015,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-542810,1,Give the formation energy per atom of mp-542810 in eV/atom. No extra text.,-0.159580558906249,0.045,0.045,False,False,wrong_value,0.8166377544403076,1766541921.568348,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-23165,2,Provide the band gap for mp-23165 (unit: eV). Only the number.,0.8929,1.75,1.75,False,False,wrong_value,0.9204158782958984,1766541774.208606,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-2251,2,Provide formation_energy_per_atom for mp-2251 (unit: eV/atom). Only the number.,-0.4825014221875,5.566666666666666,5.566666666666666,False,False,wrong_value,0.8191649913787842,1766541917.57559,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-542812,2,Provide the band gap for mp-542812 (unit: eV). Only the number.,1.0066,2.1,2.1,False,False,wrong_value,0.6124691963195801,1766541700.375352,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-1080821,2,Provide formation_energy_per_atom for mp-1080821 (unit: eV/atom). Only the number.,-3.19318655375,5.516655,5.516655,False,False,wrong_value,0.6156160831451416,1766541902.522814,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-22909,1,Give the formation energy per atom of mp-22909 in eV/atom. No extra text.,-1.291011926666667,3.75,3.75,False,False,wrong_value,0.9203908443450928,1766541833.194902,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-570437,2,Provide formation_energy_per_atom for mp-570437 (unit: eV/atom). Only the number.,-0.827083558444443,5.78555,5.78555,False,False,wrong_value,0.805150032043457,1766541872.005857,wrong_value_other,
20251224_103747,A_no_tool,formation_energy_per_atom,mp-559798,2,Provide formation_energy_per_atom for mp-559798 (unit: eV/atom). Only the number.,-2.23065729,5.59798,5.59798,False,False,wrong_value,0.612246036529541,1766541901.906337,wrong_value_other,
