material_id,gt_fe_per_atom,template_id,query,pred_fe_per_atom,abs_err,raw_output,latency_s,label
mp-27153,-1.76299271,2,Return only the formation energy per atom (eV/atom) for mp-27153.,-3.75,1.98700729,-3.75,0.8590281009674072,wrong_value
mp-1185959,-1.154441889999999,0,What is the formation energy per atom (eV/atom) of material mp-1185959? Answer with a single number.,0.0,1.154441889999999,0.000,0.6645700931549072,wrong_value
mp-1217322,-0.010930726197914001,0,What is the formation energy per atom (eV/atom) of material mp-1217322? Answer with a single number.,0.0,0.010930726197914001,0.000,0.7031970024108887,ok
mp-570437,-0.827083558444443,2,Return only the formation energy per atom (eV/atom) for mp-570437.,3.75,4.577083558444443,3.75,0.8845810890197754,wrong_value
mp-352,-4.019811040833332,1,Give the formation energy per atom of mp-352 in eV/atom. No extra text.,0.0,4.019811040833332,0.000,0.7136800289154053,wrong_value
mp-30034,-1.853706801666665,0,What is the formation energy per atom (eV/atom) of material mp-30034? Answer with a single number.,0.0,1.853706801666665,0.000,0.7167549133300781,wrong_value
mp-2251,-0.48250142218750003,0,What is the formation energy per atom (eV/atom) of material mp-2251? Answer with a single number.,0.0,0.48250142218750003,0.000,0.7396221160888672,wrong_value
mp-624,-0.20918894107142802,0,What is the formation energy per atom (eV/atom) of material mp-624? Answer with a single number.,0.0,0.20918894107142802,0.000,0.8223538398742676,wrong_value
mp-672204,-0.400380674374999,2,Return only the formation energy per atom (eV/atom) for mp-672204.,3.78,4.180380674374999,3.78,0.5915780067443848,wrong_value
mp-1525632,0.0,0,What is the formation energy per atom (eV/atom) of material mp-1525632? Answer with a single number.,0.0,0.0,0.000,0.7169547080993652,ok
mp-2133,-1.7908991124999991,2,Return only the formation energy per atom (eV/atom) for mp-2133.,3.75,5.540899112499999,3.75,0.8196680545806885,wrong_value
mp-730101,0.0,2,Return only the formation energy per atom (eV/atom) for mp-730101.,3.75,3.75,3.75,1.0191102027893066,wrong_value
mp-573812,-0.28239570742611003,2,Return only the formation energy per atom (eV/atom) for mp-573812.,3.75,4.03239570742611,3.75,0.5985159873962402,wrong_value
mp-23184,-1.0426612775,0,What is the formation energy per atom (eV/atom) of material mp-23184? Answer with a single number.,0.0,1.0426612775,0.000,0.7481319904327393,wrong_value
mp-7904,-0.120742532380951,2,Return only the formation energy per atom (eV/atom) for mp-7904.,3.78,3.900742532380951,3.78,0.7267031669616699,wrong_value
mp-680463,-0.15772634538461303,1,Give the formation energy per atom of mp-680463 in eV/atom. No extra text.,3.75,3.907726345384613,3.75,0.7485001087188721,wrong_value
mp-18299,-3.992617684583336,0,What is the formation energy per atom (eV/atom) of material mp-18299? Answer with a single number.,0.0,3.992617684583336,0.000,0.9663400650024414,wrong_value
mp-561197,-3.404466658305554,0,What is the formation energy per atom (eV/atom) of material mp-561197? Answer with a single number.,0.0,3.404466658305554,0.000,0.5382657051086426,wrong_value
mp-23261,-0.7564620653571411,0,What is the formation energy per atom (eV/atom) of material mp-23261? Answer with a single number.,0.0,0.7564620653571411,0.000,0.691662073135376,wrong_value
mp-22398,-2.648772015416667,0,What is the formation energy per atom (eV/atom) of material mp-22398? Answer with a single number.,0.0,2.648772015416667,0.000,0.6562938690185547,wrong_value
mp-32755,-1.857414943749999,0,What is the formation energy per atom (eV/atom) of material mp-32755? Answer with a single number.,0.04,1.897414943749999,0.04,0.7773199081420898,wrong_value
mp-1193140,-0.743681253794641,2,Return only the formation energy per atom (eV/atom) for mp-1193140.,3.75,4.493681253794641,3.75,0.924360990524292,wrong_value
mp-556911,-2.590574678333332,2,Return only the formation energy per atom (eV/atom) for mp-556911.,3.75,6.340574678333332,3.75,0.8017902374267578,wrong_value
mp-27148,-0.319383066011903,0,What is the formation energy per atom (eV/atom) of material mp-27148? Answer with a single number.,0.0,0.319383066011903,0.0000,0.600275993347168,wrong_value
mp-2084,-0.6734596323437501,2,Return only the formation energy per atom (eV/atom) for mp-2084.,0.0,0.6734596323437501,0.000,0.6383562088012695,wrong_value
mp-19,0.0,0,What is the formation energy per atom (eV/atom) of material mp-19? Answer with a single number.,0.0,0.0,0.000,0.8256392478942871,ok
mp-23265,-2.506313930624998,2,Return only the formation energy per atom (eV/atom) for mp-23265.,3.75,6.256313930624998,3.75,0.8183379173278809,wrong_value
mp-21526,-0.362189247187497,2,Return only the formation energy per atom (eV/atom) for mp-21526.,0.358,0.720189247187497,0.358,0.8192858695983887,wrong_value
mp-32800,-2.4930635934375,2,Return only the formation energy per atom (eV/atom) for mp-32800.,0.0,2.4930635934375,0.0000,0.7143819332122803,wrong_value
mp-504759,-2.631161137083333,2,Return only the formation energy per atom (eV/atom) for mp-504759.,3.75,6.381161137083334,3.75,0.6181092262268066,wrong_value
mp-1100,-0.37701444500000003,1,Give the formation energy per atom of mp-1100 in eV/atom. No extra text.,0.0,0.37701444500000003,0.000000,0.9166970252990723,wrong_value
mp-1195922,-0.41725717229166404,0,What is the formation energy per atom (eV/atom) of material mp-1195922? Answer with a single number.,0.0,0.41725717229166404,0.000,0.7173171043395996,wrong_value
