material_id,band_gap,formation_energy_per_atom
mp-619575,2.5175,-0.6182932559375001
mp-9851,0.1063,-0.630045229146825
mp-2793,0.262799999999999,-0.140219074531245
mp-23184,4.7135,-1.0426612775
mp-1213622,0.5263,-1.5970489985714291
mp-30140,4.1443,-0.836349655000001
mp-1232276,0.4328,-2.021422001041666
mp-1227290,0.1101,-0.006925372499999
mp-1170,1.514799999999999,-0.473969728541665
mp-32633,0.5265000000000001,-1.930073411158088
mp-1195922,0.376,-0.417257172291664
mp-254,7.6164,-4.452365858958333
mp-18299,0.2155,-3.992617684583336
mp-23185,2.8624,-0.857616325999999
mp-23290,1.7917,-0.475064009999998
mp-30031,3.8971,-1.89441126
mp-555908,2.2721,-2.341685073333334
mp-22398,3.1061,-2.648772015416667
mp-27628,1.3552,-0.3329571455
mp-1212833,0.3912,-0.299415060454546
mp-571518,1.9169,-0.946381717857144
mp-9852,0.1259,-0.616732226646824
mp-34202,0.3388,-0.274401004000003
mp-570796,1.537399999999999,-0.7330447383333331
mp-1195,1.8930999999999991,-0.50608046735294
mp-672204,0.378699999999999,-0.400380674374999
mp-29179,3.1002,-1.055039141666666
mp-1205121,0.2452,-0.510760389375001
mp-10497,2.2919,-0.127321634999998
mp-27148,0.836199999999999,-0.319383066011903
mp-1545417,0.7358999999999991,-1.718154452499998
mp-1203760,1.0648,-0.553621656590911
mp-470,1.2157,-2.156655663333334
mp-16922,0.3248,-0.962356391249998
mp-624,2.6454,-0.209188941071428
mp-22859,1.6513,-0.443566703750002
mp-31050,3.6753,-0.30258604611111
mp-541013,1.0859,-1.031189425666664
mp-18536,0.208499999999999,-1.128947433749999
mp-200,0.861699999999999,-0.514802012604166
mp-23261,2.7278,-0.7564620653571411
mp-7440,0.8684000000000001,-0.499863119613094
mp-569867,0.378,-0.7546754528571421
mp-1205852,0.8523000000000001,-2.094997655499997
mp-28483,1.069899999999999,-0.9345107228571432
mp-561664,4.0186,-2.216336207
mp-27871,1.2584,-0.8457965725000001
mp-680339,0.755599999999999,-0.28327900617555
mp-582753,0.8007000000000001,-0.434993182323239
mp-30092,3.4576,-1.725360933333334
mp-27161,2.9118,-0.8721765856249991
mp-1018138,1.037,-0.7411700000000001
mp-23155,8.5132,0.0
mp-1197742,0.8515,-0.327354584285715
mp-647579,3.2214,-1.267659339375001
mp-15649,0.8155000000000001,-0.571072849166668
mp-557993,1.1596,-1.459764126666667
mp-7904,0.6551,-0.120742532380951
mp-570738,2.4743999999999997,-0.727731253611111
mp-628742,0.5845,-0.486485566153847
mp-1204356,1.8389,-0.305946444868422
mp-7262,0.224099999999999,-0.148990749583333
mp-28879,1.1418,-1.057331754908424
mp-27684,1.099199999999999,-0.932556454761906
mp-541404,0.7584000000000001,-2.522468176666668
mp-1391848,2.0863,-2.063723397142856
mp-1184796,8.0745,-1.406990803749999
mp-9268,0.7039000000000001,-1.167954419796875
mp-540922,0.1806,-0.450521733124998
mp-540675,3.0664,-0.349825507562499
mp-571235,2.021,-1.227871009333331
mp-1208424,2.5242,-0.812674219083331
mp-27971,5.0865,-2.788094297499999
mp-22909,4.0533,-1.291011926666667
mp-556516,0.7668,-0.505116372129634
mp-21526,0.5708000000000001,-0.362189247187497
mp-1274279,1.8157,-1.481519387499999
mp-554855,1.5712000000000002,-2.60675029
