material_id,property,ground_truth,step1_raw,step2_verified,is_changed
mp-619575,band_gap,2.5175,1.35,1.35,False
mp-619575,formation_energy_per_atom,-0.6182932559375001,-2.75,-2.75,False
mp-9851,band_gap,0.1063,1.35,1.35,False
mp-9851,formation_energy_per_atom,-0.630045229146825,-1.03,-1.03,False
mp-2793,band_gap,0.262799999999999,1.35,1.35,False
mp-2793,formation_energy_per_atom,-0.140219074531245,-0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000”,0.0,True
mp-23184,band_gap,4.7135,1.35,1.35,False
mp-23184,formation_energy_per_atom,-1.0426612775,Gen_Error: 504 The request timed out. Please try again.,Error,True
mp-1213622,band_gap,0.5263,1.35,1.35,False
mp-1213622,formation_energy_per_atom,-1.5970489985714291,-0.53,-0.53,False
mp-30140,band_gap,4.1443,1.35,1.35,False
mp-30140,formation_energy_per_atom,-0.836349655000001,-0.55,-0.55,False
mp-1232276,band_gap,0.4328,1.35,1.35,False
mp-1232276,formation_energy_per_atom,-2.021422001041666,-0.53,-0.53,False
mp-1227290,band_gap,0.1101,1.35,1.35,False
mp-1227290,formation_energy_per_atom,-0.006925372499999,-0.53,-0.53,False
mp-1170,band_gap,1.514799999999999,1.35,1.35,False
mp-1170,formation_energy_per_atom,-0.473969728541665,-0.58,-0.58,False
mp-32633,band_gap,0.5265000000000001,1.35,1.35,False
mp-32633,formation_energy_per_atom,-1.930073411158088,-0.58,-0.58,False
mp-1195922,band_gap,0.376,1.35,1.35,False
mp-1195922,formation_energy_per_atom,-0.417257172291664,-0.53,-0.53,False
mp-254,band_gap,7.6164,1.35,1.35,False
mp-254,formation_energy_per_atom,-4.452365858958333,-2.75,-2.75,False
mp-18299,band_gap,0.2155,1.35,1.35,False
mp-18299,formation_energy_per_atom,-3.992617684583336,-0.53,-0.53,False
mp-23185,band_gap,2.8624,1.35,1.35,False
mp-23185,formation_energy_per_atom,-0.857616325999999,-0.58,-0.58,False
mp-23290,band_gap,1.7917,1.35,1.35,False
mp-23290,formation_energy_per_atom,-0.475064009999998,-0.53,-0.53,False
mp-30031,band_gap,3.8971,1.35,1.35,False
mp-30031,formation_energy_per_atom,-1.89441126,-0.53,-0.53,False
mp-555908,band_gap,2.2721,1.35,1.35,False
