mp_id,tool_value,round1_natural_language,round2_cove_extracted
mp-619575,2.5175,The band gap of mp-619575 is 2.5175.,2.5175
mp-619575,-0.6182932559375001,The formation energy per atom for mp-619575 is -0.6182932559375001.,-0.6182932559375001
mp-9851,0.1063,The band gap of mp-9851 is 0.1063.,0.1063
mp-9851,-0.630045229146825,The formation energy per atom for mp-9851 is -0.630045229146825.,-0.630045229146825
mp-2793,0.262799999999999,The band gap of mp-2793 is 0.2628 eV.,0.2628
mp-2793,-0.140219074531245,The formation energy per atom for mp-2793 is -0.140219074531245.,-0.140219074531245
mp-23184,4.7135,The band gap of mp-23184 is 4.7135.,4.7135
mp-23184,-1.0426612775,The formation energy per atom for mp-23184 is -1.0426612775.,-1.0426612775
mp-1213622,0.5263,The band gap of mp-1213622 is 0.5263.,0.5263
mp-1213622,-1.5970489985714291,The formation energy per atom for mp-1213622 is -1.5970489985714291.,-1.5970489985714291
mp-30140,4.1443,The band gap of mp-30140 is 4.1443.,4.1443
mp-30140,-0.836349655000001,The formation energy per atom for mp-30140 is -0.836349655000001.,-0.836349655000001
mp-1232276,0.4328,The band gap of mp-1232276 is 0.4328.,0.4328
mp-1232276,-2.021422001041666,The formation energy per atom for mp-1232276 is -2.021422001041666.,-2.021422001041666
mp-1227290,0.1101,The band gap of mp-1227290 is 0.1101.,0.1101
mp-1227290,-0.006925372499999,The formation energy per atom for mp-1227290 is -0.006925372499999.,-0.006925372499999
mp-1170,1.514799999999999,The band gap of mp-1170 is 1.5148 eV.,1.5148
mp-1170,-0.473969728541665,The formation energy per atom for mp-1170 is -0.473969728541665.,-0.473969728541665
mp-32633,0.5265000000000001,The band gap of mp-32633 is 0.5265 eV.,0.5265
mp-32633,-1.930073411158088,The formation energy per atom for mp-32633 is -1.930073411158088.,-1.930073411158088
mp-1195922,0.376,The band gap of mp-1195922 is 0.376.,0.376
mp-1195922,-0.417257172291664,The formation energy per atom for mp-1195922 is -0.417257172291664.,-0.417257172291664
