mp_id,property,tool_value_used,data_source,gpt_grounded_output
mp-619575,band_gap,2.5175,API,The band gap is 2.5175 eV.
mp-619575,formation_energy_per_atom,-0.6182932559375001,API,The formation energy per atom is -0.6182932559375001 eV/atom.
mp-9851,band_gap,0.1063,API,The band gap is 0.1063 eV.
mp-9851,formation_energy_per_atom,-0.630045229146825,API,The formation energy per atom of mp-9851 is -0.630045229146825 eV/atom.
mp-2793,band_gap,0.26279999999999903,API,The band gap of mp-2793 is 0.26279999999999903 eV.
mp-2793,formation_energy_per_atom,-0.14021907453124502,API,The formation energy per atom of mp-2793 is -0.14021907453124502 eV/atom.
mp-23184,band_gap,4.7135,API,The band gap of mp-23184 is 4.7135 eV.
mp-23184,formation_energy_per_atom,-1.0426612775,API,The formation energy per atom for material mp-23184 is -1.0426612775 eV/atom.
mp-1213622,band_gap,0.5263,API,The band gap of mp-1213622 is 0.5263 eV.
mp-1213622,formation_energy_per_atom,-1.5970489985714291,API,The formation energy per atom of mp-1213622 is -1.5970489985714291 eV/atom.
mp-30140,band_gap,4.1443,API,The band gap is 4.1443 eV.
mp-30140,formation_energy_per_atom,-0.836349655000001,API,The formation energy per atom is -0.836349655000001 eV/atom.
mp-1232276,band_gap,0.4328,API,The band gap of material mp-1232276 is 0.4328 eV.
mp-1232276,formation_energy_per_atom,-2.021422001041666,API,Formation energy per atom: -2.021422001041666 eV/atom.
mp-1227290,band_gap,0.1101,API,The band gap of mp-1227290 is 0.1101 eV.
mp-1227290,formation_energy_per_atom,-0.0069253724999990005,API,The formation energy per atom for mp-1227290 is -0.0069253724999990005 eV/atom.
mp-1170,band_gap,1.514799999999999,API,The band gap of mp-1170 is 1.514799999999999 eV.
mp-1170,formation_energy_per_atom,-0.473969728541665,API,The formation energy per atom for mp-1170 is -0.473969728541665 eV/atom.
mp-32633,band_gap,0.5265000000000001,API,The band gap of mp-32633 is 0.5265000000000001 eV.
mp-32633,formation_energy_per_atom,-1.9300734111580882,API,The formation energy per atom of mp-32633 is -1.9300734111580882 eV/atom.
mp-1195922,band_gap,0.37600000000000006,API,The band gap is 0.37600000000000006 eV.
mp-1195922,formation_energy_per_atom,-0.41725717229166404,API,The formation energy per atom of mp-1195922 is -0.41725717229166404 eV/atom.
mp-254,band_gap,7.6164000000000005,API,The band gap is 7.6164000000000005 eV.
mp-254,formation_energy_per_atom,-4.452365858958333,API,The formation energy per atom for mp-254 is -4.452365858958333 eV/atom.
mp-18299,band_gap,0.21550000000000002,API,The band gap of mp-18299 is 0.21550000000000002 eV.
mp-18299,formation_energy_per_atom,-3.992617684583336,API,The formation energy per atom of mp-18299 is -3.992617684583336 eV/atom.
mp-23185,band_gap,2.8624,API,The band gap is 2.8624 eV.
mp-23185,formation_energy_per_atom,-0.857616325999999,API,The formation energy per atom of material mp-23185 is -0.857616325999999 eV/atom.
mp-23290,band_gap,1.7917,API,The band gap is 1.7917 eV.
mp-23290,formation_energy_per_atom,-0.47506400999999804,API,The formation energy per atom of mp-23290 is -0.47506400999999804 eV/atom.
mp-30031,band_gap,3.8971,API,The band gap is 3.8971 eV.
mp-30031,formation_energy_per_atom,-1.89441126,API,The formation energy per atom is -1.89441126 eV/atom.
mp-555908,band_gap,2.2721,API,The band gap of mp-555908 is 2.2721 eV.
mp-555908,formation_energy_per_atom,-2.341685073333334,API,The formation energy per atom is -2.341685073333334 eV/atom.
mp-22398,band_gap,3.1061,API,The band gap is 3.1061 eV.
mp-22398,formation_energy_per_atom,-2.648772015416667,API,The formation energy per atom is -2.648772015416667 eV/atom.
mp-27628,band_gap,1.3552,API,The band gap of mp-27628 is 1.3552 eV.
mp-27628,formation_energy_per_atom,-0.33295714550000005,API,The formation energy per atom is -0.33295714550000005 eV/atom.
mp-1212833,band_gap,0.39120000000000005,API,The band gap is 0.39120000000000005 eV.
mp-1212833,formation_energy_per_atom,-0.299415060454546,API,The formation energy per atom of mp-1212833 is -0.299415060454546 eV/atom.
mp-571518,band_gap,1.9169,API,The band gap is 1.9169 eV.
mp-571518,formation_energy_per_atom,-0.9463817178571441,API,The formation energy per atom of mp-571518 is -0.9463817178571441 eV/atom.
mp-9852,band_gap,0.1259,API,The band gap is 0.1259 eV.
mp-9852,formation_energy_per_atom,-0.616732226646824,API,The formation energy per atom of mp-9852 is -0.616732226646824 eV/atom.
mp-34202,band_gap,0.3388,API,The band gap of mp-34202 is 0.3388 eV.
mp-34202,formation_energy_per_atom,-0.274401004000003,API,The formation energy per atom is -0.274401004000003 eV/atom.
mp-570796,band_gap,1.537399999999999,API,The band gap of material mp-570796 is 1.537399999999999 eV.
mp-570796,formation_energy_per_atom,-0.7330447383333331,API,The formation energy per atom of mp-570796 is -0.7330447383333331 eV/atom.
mp-1195,band_gap,1.8930999999999991,API,The band gap of material mp-1195 is 1.8930999999999991 eV.
mp-1195,formation_energy_per_atom,-0.50608046735294,API,-0.50608046735294 eV/atom.
mp-672204,band_gap,0.37869999999999904,API,The band gap is 0.37869999999999904 eV.
mp-672204,formation_energy_per_atom,-0.400380674374999,API,"For material mp-672204, the formation energy per atom is -0.400380674374999 eV/atom."
mp-29179,band_gap,3.1002,API,The band gap of mp-29179 is 3.1002 eV.
mp-29179,formation_energy_per_atom,-1.055039141666666,API,The formation energy per atom is -1.055039141666666 eV/atom.
mp-1205121,band_gap,0.24520000000000003,API,The band gap of mp-1205121 is 0.24520000000000003 eV.
mp-1205121,formation_energy_per_atom,-0.510760389375001,API,"For mp-1205121, the formation energy per atom is -0.510760389375001 eV/atom."
mp-10497,band_gap,2.2919,API,The band gap is 2.2919 eV.
