mp_id,property,tool_value_input,data_source,step1_generator_output,step2_verified_output,is_corrected
mp-619575,band_gap,2.5175,CSV_Frozen,The band gap of mp-619575 is 2.5175 eV.,2.5175,True
mp-619575,formation_energy_per_atom,-0.6182932559375001,CSV_Frozen,The formation_energy_per_atom of mp-619575 is -0.6182932559375001 eV per atom.,-0.6182932559375001,True
mp-9851,formation_energy_per_atom,-0.630045229146825,CSV_Frozen,The formation_energy_per_atom of mp-9851 is -0.630045229146825 eV/atom.,-0.630045229146825,True
mp-23184,formation_energy_per_atom,-1.0426612775,CSV_Frozen,The formation_energy_per_atom of mp-23184 is -1.0426612775 eV/atom.,-1.0426612775,True
mp-2793,formation_energy_per_atom,-0.140219074531245,CSV_Frozen,The formation_energy_per_atom of mp-2793 is -0.140219074531245 eV/atom.,-0.140219074531245,True
mp-23184,band_gap,4.7135,CSV_Frozen,The band_gap of mp-23184 is 4.7135.,4.7135,True
mp-2793,band_gap,0.262799999999999,CSV_Frozen,The band gap of mp-2793 is 0.2628 eV.,0.262799999999999,True
mp-9851,band_gap,0.1063,CSV_Frozen,The band gap of mp-9851 is 0.1063 eV.,0.1063,True
mp-1227290,band_gap,0.1101,CSV_Frozen,The band gap of mp-1227290 is 0.1101 eV.,0.1101,True
mp-1213622,formation_energy_per_atom,-1.5970489985714291,CSV_Frozen,The formation energy per atom of mp-1213622 is -1.5970489985714291 eV/atom.,-1.5970489985714291,True
mp-1213622,band_gap,0.5263,CSV_Frozen,The band_gap of mp-1213622 is 0.5263 eV.,0.5263,True
mp-1232276,band_gap,0.4328,CSV_Frozen,"According to the database, the band gap of mp-1232276 is 0.4328 eV.",0.4328,True
mp-1232276,formation_energy_per_atom,-2.021422001041666,CSV_Frozen,The formation energy per atom of mp-1232276 is -2.021422001041666 eV/atom.,-2.021422001041666,True
mp-1227290,formation_energy_per_atom,-0.006925372499999,CSV_Frozen,The formation energy per atom of mp-1227290 is -0.006925372499999 eV/atom.,-0.006925372499999,True
