mp_id,property,tool_value,round1_natural_language,round2_cove_extracted
mp-619575,band_gap,2.5175,The band gap of mp-619575 is 2.5175 eV.,2.5175
mp-23184,band_gap,4.7135,The band gap of mp-23184 is 4.7135 eV.,4.7135
mp-2793,formation_energy_per_atom,-0.140219074531245,The formation energy per atom for mp-2793 is -0.140219074531245 eV/atom.,-0.140219074531245
mp-619575,formation_energy_per_atom,-0.6182932559375001,The formation energy per atom of mp-619575 is -0.6182932559375001 eV/atom.,-0.6182932559375001
mp-9851,band_gap,0.1063,The band gap of mp-9851 is 0.1063 eV.,0.1063
mp-23184,formation_energy_per_atom,-1.0426612775,The formation energy per atom of mp-23184 is -1.0426612775 eV/atom.,-1.0426612775
mp-9851,formation_energy_per_atom,-0.630045229146825,The formation energy per atom of mp-9851 is -0.630045229146825 eV/atom.,-0.630045229146825
mp-2793,band_gap,0.262799999999999,The band gap of mp-2793 is 0.2628 eV.,0.2628
mp-30140,band_gap,4.1443,The band gap of mp-30140 is 4.1443 eV.,4.1443
mp-1213622,formation_energy_per_atom,-1.5970489985714291,The formation energy per atom of mp-1213622 is -1.5970489985714291 eV/atom.,-1.5970489985714291
mp-1213622,band_gap,0.5263,The band gap of mp-1213622 is 0.5263 eV.,0.5263
mp-30140,formation_energy_per_atom,-0.836349655000001,The formation energy per atom of mp-30140 is -0.836349655000001 eV/atom.,-0.836349655000001
mp-1232276,formation_energy_per_atom,-2.021422001041666,The formation energy per atom of mp-1232276 is -2.021422001041666 eV/atom.,-2.021422001041666
mp-1232276,band_gap,0.4328,The band gap of mp-1232276 is 0.4328 eV.,0.4328
mp-1227290,band_gap,0.1101,The band gap of mp-1227290 is 0.1101 eV.,0.1101
mp-1227290,formation_energy_per_atom,-0.006925372499999,The formation energy per atom of mp-1227290 is -0.006925372499999 eV/atom.,-0.006925372499999
mp-1170,band_gap,1.514799999999999,The band gap of mp-1170 is 1.5148 eV.,1.5148
mp-32633,formation_energy_per_atom,-1.930073411158088,The formation energy per atom of mp-32633 is -1.930073411158088 eV/atom.,-1.930073411158088
mp-1170,formation_energy_per_atom,-0.473969728541665,The formation energy per atom of mp-1170 is -0.473969728541665 eV/atom.,-0.473969728541665
mp-1195922,band_gap,0.376,"According to the database, the band gap of mp-1195922 is 0.376 eV.",0.376
mp-32633,band_gap,0.5265000000000001,The band gap of mp-32633 is 0.5265 eV.,0.5265
mp-254,band_gap,7.6164,The band gap of mp-254 is 7.6164 eV.,7.6164
mp-1195922,formation_energy_per_atom,-0.417257172291664,The formation energy per atom of mp-1195922 is -0.417257172291664 eV/atom.,-0.417257172291664
mp-18299,band_gap,0.2155,The band gap of mp-18299 is 0.2155 eV.,0.2155
mp-23185,band_gap,2.8624,The band gap of mp-23185 is 2.8624 eV.,2.8624
mp-254,formation_energy_per_atom,-4.452365858958333,The formation energy per atom of mp-254 is -4.452365858958333 eV/atom.,-4.452365858958333
mp-23290,band_gap,1.7917,The band gap of mp-23290 is 1.7917 eV.,1.7917
mp-23185,formation_energy_per_atom,-0.857616325999999,The formation_energy_per_atom of mp-23185 is -0.857616325999999 eV per atom.,-0.857616325999999
mp-18299,formation_energy_per_atom,-3.992617684583336,The formation energy per atom of mp-18299 is -3.992617684583336 eV/atom.,-3.992617684583336
mp-23290,formation_energy_per_atom,-0.475064009999998,The formation energy per atom of mp-23290 is -0.47506401 eV/atom.,-0.47506401
mp-30031,formation_energy_per_atom,-1.89441126,The formation energy per atom of mp-30031 is -1.89441126 eV/atom.,-1.89441126
mp-555908,band_gap,2.2721,The band gap of mp-555908 is 2.2721 eV.,2.2721
mp-30031,band_gap,3.8971,The band gap of mp-30031 is 3.8971 eV.,3.8971
mp-22398,band_gap,3.1061,The band gap of mp-22398 is 3.1061 eV.,3.1061
mp-555908,formation_energy_per_atom,-2.341685073333334,The formation energy per atom of mp-555908 is -2.341685073333334 eV/atom.,-2.341685073333334
mp-22398,formation_energy_per_atom,-2.648772015416667,The formation energy per atom of mp-22398 is -2.648772015416667 eV/atom.,-2.648772015416667
mp-27628,band_gap,1.3552,The band gap of mp-27628 is 1.3552 eV.,1.3552
mp-27628,formation_energy_per_atom,-0.3329571455,The formation energy per atom of mp-27628 is -0.3329571455 eV/atom.,-0.3329571455
mp-1212833,band_gap,0.3912,"According to the database, the band gap of mp-1212833 is 0.3912 eV.",0.3912
mp-1212833,formation_energy_per_atom,-0.299415060454546,The formation_energy_per_atom of mp-1212833 is -0.299415060454546 eV/atom.,-0.299415060454546
mp-571518,band_gap,1.9169,The band gap of mp-571518 is 1.9169 eV.,1.9169
mp-9852,band_gap,0.1259,The band gap of mp-9852 is 0.1259 eV.,0.1259
mp-571518,formation_energy_per_atom,-0.946381717857144,The formation energy per atom of mp-571518 is -0.946381717857144 eV/atom.,-0.946381717857144
mp-34202,band_gap,0.3388,The band gap of mp-34202 is 0.3388 eV.,0.3388
mp-570796,formation_energy_per_atom,-0.7330447383333331,The formation energy per atom of mp-570796 is -0.7330447383333331 eV/atom.,-0.7330447383333331
mp-34202,formation_energy_per_atom,-0.274401004000003,The formation energy per atom of mp-34202 is -0.274401004000003 eV/atom.,-0.274401004000003
mp-570796,band_gap,1.537399999999999,The band gap of mp-570796 is approximately 1.5374 eV.,1.5374
mp-9852,formation_energy_per_atom,-0.616732226646824,The formation_energy_per_atom of mp-9852 is -0.616732226646824 eV per atom.,-0.616732226646824
