mp_id,property,tool_source,tool_value,grounded_output
mp-619575,band_gap,MP_API_Live,2.5175,The band gap of mp-619575 is 2.5175.
mp-619575,formation_energy_per_atom,MP_API_Live,-0.6182932559375001,The formation energy per atom for mp-619575 is approximately -0.62 eV.
mp-9851,band_gap,MP_API_Live,0.1063,The band gap of mp-9851 is approximately 0.1063 eV.
mp-9851,formation_energy_per_atom,MP_API_Live,-0.630045229146825,The formation energy per atom for mp-9851 is approximately -0.63 eV.
mp-2793,band_gap,MP_API_Live,0.26279999999999903,The band gap of mp-2793 is approximately 0.263 eV.
mp-2793,formation_energy_per_atom,MP_API_Live,-0.14021907453124502,The formation energy per atom for mp-2793 is approximately -0.140 eV/atom.
mp-23184,band_gap,MP_API_Live,4.7135,The band gap of mp-23184 is 4.7135.
mp-23184,formation_energy_per_atom,MP_API_Live,-1.0426612775,The formation energy per atom for mp-23184 is approximately -1.04 eV.
mp-1213622,band_gap,MP_API_Live,0.5263,The band gap of mp-1213622 is approximately 0.5263 eV.
mp-1213622,formation_energy_per_atom,MP_API_Live,-1.5970489985714291,The formation energy per atom for mp-1213622 is approximately -1.60 eV.
mp-30140,band_gap,MP_API_Live,4.1443,The band gap of mp-30140 is 4.1443.
mp-30140,formation_energy_per_atom,MP_API_Live,-0.836349655000001,The formation energy per atom for mp-30140 is approximately -0.836 eV/atom.
mp-1232276,band_gap,MP_API_Live,0.4328,The band gap of mp-1232276 is approximately 0.4328 eV.
mp-1232276,formation_energy_per_atom,MP_API_Live,-2.021422001041666,The formation energy per atom for mp-1232276 is approximately -2.02 eV.
mp-1227290,band_gap,MP_API_Live,0.1101,The band gap of mp-1227290 is approximately 0.1101 eV.
mp-1227290,formation_energy_per_atom,MP_API_Live,-0.0069253724999990005,The formation energy per atom for mp-1227290 is approximately -0.006925 eV/atom.
mp-1170,band_gap,MP_API_Live,1.514799999999999,The band gap of mp-1170 is approximately 1.51 eV.
mp-1170,formation_energy_per_atom,MP_API_Live,-0.473969728541665,The formation energy per atom for mp-1170 is approximately -0.474 eV/atom.
mp-32633,band_gap,MP_API_Live,0.5265000000000001,The band gap of mp-32633 is approximately 0.5265 eV.
mp-32633,formation_energy_per_atom,MP_API_Live,-1.9300734111580882,The formation energy per atom for mp-32633 is approximately -1.93 eV.
mp-1195922,band_gap,MP_API_Live,0.37600000000000006,The band gap of mp-1195922 is approximately 0.376 eV.
mp-1195922,formation_energy_per_atom,MP_API_Live,-0.41725717229166404,The formation energy per atom for mp-1195922 is approximately -0.417 eV/atom.
mp-254,band_gap,MP_API_Live,7.6164000000000005,The band gap of mp-254 is approximately 7.62 eV.
mp-254,formation_energy_per_atom,MP_API_Live,-4.452365858958333,The formation energy per atom for mp-254 is approximately -4.45 eV.
mp-18299,band_gap,MP_API_Live,0.21550000000000002,The band gap of mp-18299 is approximately 0.2155 eV.
mp-18299,formation_energy_per_atom,MP_API_Live,-3.992617684583336,The formation energy per atom for mp-18299 is approximately -3.99 eV.
mp-23185,band_gap,MP_API_Live,2.8624,The band gap of mp-23185 is 2.8624.
mp-23185,formation_energy_per_atom,MP_API_Live,-0.857616325999999,The formation energy per atom for mp-23185 is approximately -0.858 eV/atom.
mp-23290,band_gap,MP_API_Live,1.7917,The band gap of mp-23290 is approximately 1.7917 eV.
mp-23290,formation_energy_per_atom,MP_API_Live,-0.47506400999999804,The formation energy per atom for mp-23290 is approximately -0.475 eV/atom.
mp-30031,band_gap,MP_API_Live,3.8971,The band gap of mp-30031 is approximately 3.8971 eV.
mp-30031,formation_energy_per_atom,MP_API_Live,-1.89441126,The formation energy per atom for mp-30031 is approximately -1.89 eV.
mp-555908,band_gap,MP_API_Live,2.2721,The band gap of mp-555908 is 2.2721.
mp-555908,formation_energy_per_atom,MP_API_Live,-2.341685073333334,The formation energy per atom for mp-555908 is approximately -2.34 eV.
mp-22398,band_gap,MP_API_Live,3.1061,The band gap of mp-22398 is 3.1061.
mp-22398,formation_energy_per_atom,MP_API_Live,-2.648772015416667,The formation energy per atom for mp-22398 is approximately -2.65 eV.
mp-27628,band_gap,MP_API_Live,1.3552,The band gap of mp-27628 is 1.3552.
mp-27628,formation_energy_per_atom,MP_API_Live,-0.33295714550000005,The formation energy per atom for mp-27628 is approximately -0.33 eV.
mp-1212833,band_gap,MP_API_Live,0.39120000000000005,The band gap of mp-1212833 is approximately 0.391 eV.
mp-1212833,formation_energy_per_atom,MP_API_Live,-0.299415060454546,The formation energy per atom for mp-1212833 is approximately -0.30 eV.
mp-571518,band_gap,MP_API_Live,1.9169,The band gap of mp-571518 is approximately 1.9169 eV.
mp-571518,formation_energy_per_atom,MP_API_Live,-0.9463817178571441,The formation energy per atom for mp-571518 is approximately -0.95 eV.
mp-9852,band_gap,MP_API_Live,0.1259,The band gap of mp-9852 is 0.1259 eV.
mp-9852,formation_energy_per_atom,MP_API_Live,-0.616732226646824,The formation energy per atom for mp-9852 is approximately -0.62 eV.
mp-34202,band_gap,MP_API_Live,0.3388,The band gap of mp-34202 is approximately 0.3388 eV.
mp-34202,formation_energy_per_atom,MP_API_Live,-0.274401004000003,The formation energy per atom for mp-34202 is approximately -0.274 eV/atom.
mp-570796,band_gap,MP_API_Live,1.537399999999999,The band gap of mp-570796 is approximately 1.5374.
mp-570796,formation_energy_per_atom,MP_API_Live,-0.7330447383333331,The formation energy per atom for mp-570796 is approximately -0.73 eV.
mp-1195,band_gap,MP_API_Live,1.8930999999999991,The band gap of mp-1195 is approximately 1.89 eV.
mp-1195,formation_energy_per_atom,MP_API_Live,-0.50608046735294,The formation energy per atom for mp-1195 is approximately -0.506 eV/atom.
mp-672204,band_gap,MP_API_Live,0.37869999999999904,The band gap of mp-672204 is approximately 0.3787.
mp-672204,formation_energy_per_atom,MP_API_Live,-0.400380674374999,The formation energy per atom for mp-672204 is approximately -0.40 eV.
mp-29179,band_gap,MP_API_Live,3.1002,The band gap of mp-29179 is approximately 3.1002.
mp-29179,formation_energy_per_atom,MP_API_Live,-1.055039141666666,The formation energy per atom for mp-29179 is approximately -1.055 eV/atom.
mp-1205121,band_gap,MP_API_Live,0.24520000000000003,The band gap of mp-1205121 is approximately 0.2452 eV.
mp-1205121,formation_energy_per_atom,MP_API_Live,-0.510760389375001,The formation energy per atom for mp-1205121 is approximately -0.51 eV.
