mp_id,property,tool_value,step1_naive_output,step2_corrected_output,is_corrected
mp-619575,band_gap,2.5175,The band gap of mp-619575 is 2.5175.,2.5175,True
mp-619575,formation_energy_per_atom,-0.6182932559375001,The formation energy per atom for mp-619575 is -0.6182932559375001.,-0.6182932559375001,True
mp-9851,band_gap,0.1063,The band gap of mp-9851 is 0.1063.,0.1063,True
mp-9851,formation_energy_per_atom,-0.630045229146825,The formation energy per atom for mp-9851 is approximately -0.63 eV.,-0.630045229146825,True
mp-2793,band_gap,0.262799999999999,The band gap of mp-2793 is approximately 0.263 eV.,0.262799999999999,True
mp-2793,formation_energy_per_atom,-0.140219074531245,The formation energy per atom of mp-2793 is -0.140219074531245.,-0.140219074531245,True
mp-23184,band_gap,4.7135,The band gap of mp-23184 is 4.7135.,4.7135,True
mp-23184,formation_energy_per_atom,-1.0426612775,The formation energy per atom of mp-23184 is -1.0426612775.,-1.0426612775,True
mp-1213622,band_gap,0.5263,The band gap of mp-1213622 is 0.5263.,0.5263,True
mp-1213622,formation_energy_per_atom,-1.5970489985714291,The formation energy per atom for mp-1213622 is approximately -1.60 eV.,-1.5970489985714291,True
mp-30140,band_gap,4.1443,The band gap of mp-30140 is 4.1443.,4.1443,True
mp-30140,formation_energy_per_atom,-0.836349655000001,The formation energy per atom of mp-30140 is -0.836349655 eV.,-0.836349655000001,True
mp-1232276,band_gap,0.4328,The band gap of mp-1232276 is 0.4328.,0.4328,True
mp-1232276,formation_energy_per_atom,-2.021422001041666,The formation energy per atom for mp-1232276 is approximately -2.021422001041666 eV.,-2.021422001041666,True
mp-1227290,band_gap,0.1101,The band gap of mp-1227290 is 0.1101.,0.1101,True
mp-1227290,formation_energy_per_atom,-0.006925372499999,The formation energy per atom for mp-1227290 is approximately -0.0069253725 eV.,-0.0069253725,True
mp-1170,formation_energy_per_atom,-0.473969728541665,The formation energy per atom of mp-1170 is approximately -0.474 eV.,-0.473969728541665,True
mp-1170,band_gap,1.514799999999999,The band gap of mp-1170 is approximately 1.51 eV.,1.51,True
mp-32633,band_gap,0.5265000000000001,The band gap of mp-32633 is approximately 0.53 eV.,0.5265000000000001,True
mp-32633,formation_energy_per_atom,-1.930073411158088,The formation energy per atom for mp-32633 is -1.93 eV.,-1.930073411158088,True
mp-1195922,band_gap,0.376,The band gap of mp-1195922 is 0.376.,0.376,True
mp-1195922,formation_energy_per_atom,-0.417257172291664,The formation energy per atom of mp-1195922 is -0.417257172291664.,-0.417257172291664,True
mp-254,formation_energy_per_atom,-4.452365858958333,The formation energy per atom for mp-254 is approximately -4.45 eV.,-4.452365858958333,True
mp-254,band_gap,7.6164,The band gap of mp-254 is 7.6164.,7.6164,True
mp-18299,band_gap,0.2155,The band gap of mp-18299 is 0.2155.,0.2155,True
mp-18299,formation_energy_per_atom,-3.992617684583336,The formation energy per atom for mp-18299 is -3.992617684583336.,-3.992617684583336,True
mp-23185,band_gap,2.8624,The band gap of mp-23185 is 2.8624.,2.8624,True
mp-23185,formation_energy_per_atom,-0.857616325999999,The formation energy per atom for mp-23185 is approximately -0.858 eV.,-0.857616325999999,True
mp-23290,formation_energy_per_atom,-0.475064009999998,The formation energy per atom of mp-23290 is -0.475 eV.,-0.475064009999998,True
mp-30031,band_gap,3.8971,The band gap of mp-30031 is 3.8971.,3.8971,True
mp-23290,band_gap,1.7917,The band gap of mp-23290 is 1.7917.,1.7917,True
mp-30031,formation_energy_per_atom,-1.89441126,The formation energy per atom for mp-30031 is -1.89441126.,-1.89441126,True
mp-555908,band_gap,2.2721,The band gap of mp-555908 is 2.2721.,2.2721,True
mp-555908,formation_energy_per_atom,-2.341685073333334,The formation energy per atom for mp-555908 is -2.341685073333334.,-2.341685073333334,True
