mp_id,property,tool_value,raw_output,model,experiment,ts
mp-619575,band_gap,2.5175,2.5175,gemini,exp2_grounded_noverify,1770617002.058079
mp-619575,formation_energy_per_atom,-0.6182932559375001,-0.6182932559375001,gemini,exp2_grounded_noverify,1770617003.4174259
mp-9851,band_gap,0.1063,0.1063,gemini,exp2_grounded_noverify,1770617004.648097
mp-9851,formation_energy_per_atom,-0.630045229146825,-0.630045229146825,gemini,exp2_grounded_noverify,1770617006.101043
mp-2793,band_gap,0.262799999999999,0.262799999999999,gemini,exp2_grounded_noverify,1770617007.411114
mp-2793,formation_energy_per_atom,-0.140219074531245,-0.140219074531245,gemini,exp2_grounded_noverify,1770617008.740623
mp-23184,band_gap,4.7135,4.7135,gemini,exp2_grounded_noverify,1770617010.119298
mp-23184,formation_energy_per_atom,-1.0426612775,-1.0426612775,gemini,exp2_grounded_noverify,1770617011.4046311
mp-1213622,band_gap,0.5263,0.5263,gemini,exp2_grounded_noverify,1770617012.747572
mp-1213622,formation_energy_per_atom,-1.5970489985714291,-1.5970489985714291,gemini,exp2_grounded_noverify,1770617014.069299
mp-30140,band_gap,4.1443,4.1443,gemini,exp2_grounded_noverify,1770617015.201795
mp-30140,formation_energy_per_atom,-0.836349655000001,-0.836349655000001,gemini,exp2_grounded_noverify,1770617016.5375922
mp-1232276,band_gap,0.4328,0.4328,gemini,exp2_grounded_noverify,1770617017.650471
mp-1232276,formation_energy_per_atom,-2.021422001041666,-2.021422001041666,gemini,exp2_grounded_noverify,1770617019.083957
mp-1227290,band_gap,0.1101,0.1101,gemini,exp2_grounded_noverify,1770617020.309917
mp-1227290,formation_energy_per_atom,-0.006925372499999,-0.006925372499999,gemini,exp2_grounded_noverify,1770617021.64462
mp-1170,band_gap,1.514799999999999,1.514799999999999,gemini,exp2_grounded_noverify,1770617022.942474
mp-1170,formation_energy_per_atom,-0.473969728541665,-0.473969728541665,gemini,exp2_grounded_noverify,1770617024.513749
mp-32633,band_gap,0.5265000000000001,0.5265000000000001,gemini,exp2_grounded_noverify,1770617025.639192
mp-32633,formation_energy_per_atom,-1.930073411158088,-1.930073411158088,gemini,exp2_grounded_noverify,1770617027.073493
mp-1195922,band_gap,0.376,0.376,gemini,exp2_grounded_noverify,1770617028.506733
mp-1195922,formation_energy_per_atom,-0.417257172291664,-0.417257172291664,gemini,exp2_grounded_noverify,1770617029.940188
mp-254,band_gap,7.6164,7.6164,gemini,exp2_grounded_noverify,1770617031.579951
mp-254,formation_energy_per_atom,-4.452365858958333,-4.452365858958333,gemini,exp2_grounded_noverify,1770617033.011179
mp-18299,band_gap,0.2155,0.2155,gemini,exp2_grounded_noverify,1770617034.457918
mp-18299,formation_energy_per_atom,-3.992617684583336,-3.992617684583336,gemini,exp2_grounded_noverify,1770617035.87728
mp-23185,band_gap,2.8624,2.8624,gemini,exp2_grounded_noverify,1770617037.177352
mp-23185,formation_energy_per_atom,-0.857616325999999,-0.857616325999999,gemini,exp2_grounded_noverify,1770617038.6515892
mp-23290,band_gap,1.7917,1.7917,gemini,exp2_grounded_noverify,1770617039.8270788
mp-23290,formation_energy_per_atom,-0.475064009999998,-0.475064009999998,gemini,exp2_grounded_noverify,1770617041.1282592
mp-30031,band_gap,3.8971,3.8971,gemini,exp2_grounded_noverify,1770617042.637522
mp-30031,formation_energy_per_atom,-1.89441126,-1.89441126,gemini,exp2_grounded_noverify,1770617044.074583
mp-555908,band_gap,2.2721,2.2721,gemini,exp2_grounded_noverify,1770617045.354107
mp-555908,formation_energy_per_atom,-2.341685073333334,-2.341685073333334,gemini,exp2_grounded_noverify,1770617046.736154
mp-22398,band_gap,3.1061,3.1061,gemini,exp2_grounded_noverify,1770617048.0544078
mp-22398,formation_energy_per_atom,-2.648772015416667,-2.648772015416667,gemini,exp2_grounded_noverify,1770617049.218817
mp-27628,band_gap,1.3552,1.3552,gemini,exp2_grounded_noverify,1770617050.7564569
mp-27628,formation_energy_per_atom,-0.3329571455,-0.3329571455,gemini,exp2_grounded_noverify,1770617052.059969
mp-1212833,band_gap,0.3912,0.3912,gemini,exp2_grounded_noverify,1770617053.3151581
mp-1212833,formation_energy_per_atom,-0.299415060454546,-0.299415060454546,gemini,exp2_grounded_noverify,1770617054.725368
mp-571518,band_gap,1.9169,1.9169,gemini,exp2_grounded_noverify,1770617056.157505
