mp_id,property,tool_value,raw_output,model,experiment,ts
mp-619575,band_gap,2.5175,mp-619575: band_gap is 2.5175 eV.,gemini,exp2a_grounded_noverify,1770619825.002662
mp-619575,formation_energy_per_atom,-0.6182932559375001,mp-619575: formation_energy_per_atom is -0.6182932559375001 eV/atom.,gemini,exp2a_grounded_noverify,1770619826.371047
mp-9851,band_gap,0.1063,mp-9851: band_gap is 0.1063 eV.,gemini,exp2a_grounded_noverify,1770619827.543061
mp-9851,formation_energy_per_atom,-0.630045229146825,mp-9851: formation_energy_per_atom is -0.630045229146825 eV/atom.,gemini,exp2a_grounded_noverify,1770619828.961076
mp-2793,band_gap,0.262799999999999,mp-2793: band_gap is 0.2628 eV.,gemini,exp2a_grounded_noverify,1770619830.191647
mp-2793,formation_energy_per_atom,-0.140219074531245,mp-2793: formation_energy_per_atom is -0.140219074531245 eV/atom.,gemini,exp2a_grounded_noverify,1770619831.4767401
mp-23184,band_gap,4.7135,mp-23184: band_gap is 4.7135 eV.,gemini,exp2a_grounded_noverify,1770619832.758102
mp-23184,formation_energy_per_atom,-1.0426612775,mp-23184: formation_energy_per_atom is -1.0426612775 eV/atom.,gemini,exp2a_grounded_noverify,1770619834.332716
mp-1213622,band_gap,0.5263,mp-1213622: band_gap is 0.5263 eV.,gemini,exp2a_grounded_noverify,1770619835.601336
mp-1213622,formation_energy_per_atom,-1.5970489985714291,mp-1213622: formation_energy_per_atom is -1.5970489985714291 eV/atom.,gemini,exp2a_grounded_noverify,1770619836.959213
mp-30140,band_gap,4.1443,mp-30140: band_gap is 4.1443 eV.,gemini,exp2a_grounded_noverify,1770619838.229269
mp-30140,formation_energy_per_atom,-0.836349655000001,mp-30140: formation_energy_per_atom is -0.836349655000001 eV/atom.,gemini,exp2a_grounded_noverify,1770619839.592708
mp-1232276,band_gap,0.4328,mp-1232276: band_gap is 0.4328 eV.,gemini,exp2a_grounded_noverify,1770619840.9543328
mp-1232276,formation_energy_per_atom,-2.021422001041666,mp-1232276: formation_energy_per_atom is -2.021422001041666 eV/atom.,gemini,exp2a_grounded_noverify,1770619842.686395
mp-1227290,band_gap,0.1101,mp-1227290: band_gap is 0.1101 eV.,gemini,exp2a_grounded_noverify,1770619844.0627441
mp-1227290,formation_energy_per_atom,-0.006925372499999,mp-1227290: formation_energy_per_atom is -0.006925372499999 eV/atom.,gemini,exp2a_grounded_noverify,1770619845.341198
mp-1170,band_gap,1.514799999999999,mp-1170: band_gap is 1.5148 eV.,gemini,exp2a_grounded_noverify,1770619846.785089
mp-1170,formation_energy_per_atom,-0.473969728541665,mp-1170: formation_energy_per_atom is -0.473969728541665 eV/atom.,gemini,exp2a_grounded_noverify,1770619848.113772
mp-32633,band_gap,0.5265000000000001,mp-32633: band_gap is 0.5265 eV.,gemini,exp2a_grounded_noverify,1770619849.3325472
mp-32633,formation_energy_per_atom,-1.930073411158088,mp-32633: formation_energy_per_atom is -1.930073411158088 eV/atom.,gemini,exp2a_grounded_noverify,1770619850.696587
mp-1195922,band_gap,0.376,mp-1195922: band_gap is 0.376 eV.,gemini,exp2a_grounded_noverify,1770619851.71475
mp-1195922,formation_energy_per_atom,-0.417257172291664,mp-1195922: formation_energy_per_atom is -0.417257172291664 eV/atom.,gemini,exp2a_grounded_noverify,1770619853.1454341
mp-254,band_gap,7.6164,mp-254: band_gap is 7.6164 eV.,gemini,exp2a_grounded_noverify,1770619854.342567
mp-254,formation_energy_per_atom,-4.452365858958333,mp-254: formation_energy_per_atom is -4.452365858958333 eV/atom.,gemini,exp2a_grounded_noverify,1770619856.4903412
mp-18299,band_gap,0.2155,mp-18299: band_gap is 0.2155 eV.,gemini,exp2a_grounded_noverify,1770619857.5909278
mp-18299,formation_energy_per_atom,-3.992617684583336,mp-18299: formation_energy_per_atom is -3.992617684583336 eV/atom.,gemini,exp2a_grounded_noverify,1770619859.070325
mp-23185,band_gap,2.8624,mp-23185: band_gap is 2.8624 eV.,gemini,exp2a_grounded_noverify,1770619860.603127
mp-23185,formation_energy_per_atom,-0.857616325999999,mp-23185: formation_energy_per_atom is -0.857616325999999 eV/atom.,gemini,exp2a_grounded_noverify,1770619862.1853912
mp-23290,band_gap,1.7917,mp-23290: band_gap is 1.7917 eV.,gemini,exp2a_grounded_noverify,1770619863.517705
mp-23290,formation_energy_per_atom,-0.475064009999998,mp-23290: formation_energy_per_atom is -0.475064009999998 eV/atom.,gemini,exp2a_grounded_noverify,1770619864.912283
mp-30031,band_gap,3.8971,mp-30031: band_gap is 3.8971 eV.,gemini,exp2a_grounded_noverify,1770619866.379792
