mp_id,property,tool_value,tool_source_mpid,tool_source_field,raw_output,model,experiment,ts
mp-619575,band_gap,-0.6182932559375001,mp-619575,formation_energy_per_atom,mp-619575: band_gap = 1.513 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621308.6795342
mp-619575,formation_energy_per_atom,-0.6182932559375001,mp-619575,formation_energy_per_atom,mp-619575: formation_energy_per_atom = -0.6182932559375001 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621310.183519
mp-9851,band_gap,0.1063,mp-9851,band_gap,mp-9851: band_gap = 0.1063 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621312.1045702
mp-9851,formation_energy_per_atom,-0.630045229146825,mp-9851,formation_energy_per_atom,mp-9851: formation_energy_per_atom = -0.630045229146825 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621313.6767302
mp-2793,band_gap,-0.140219074531245,mp-2793,formation_energy_per_atom,mp-2793: band_gap = 0.22 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621315.250679
mp-2793,formation_energy_per_atom,-0.140219074531245,mp-2793,formation_energy_per_atom,mp-2793: formation_energy_per_atom = -0.140219074531245 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621316.82369
mp-23184,band_gap,2.9118,mp-27161,band_gap,mp-23184: band_gap = 2.9118 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621318.040226
mp-23184,formation_energy_per_atom,-1.0426612775,mp-23184,formation_energy_per_atom,mp-23184: formation_energy_per_atom = -1.0426612775 (eV/atom),gemini,exp2a_grounded_naive_retrieval_noverify,1770621320.003519
mp-1213622,band_gap,0.5263,mp-1213622,band_gap,mp-1213622: band_gap = 0.5263 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621321.595974
mp-1213622,formation_energy_per_atom,-1.5970489985714291,mp-1213622,formation_energy_per_atom,mp-1213622: formation_energy_per_atom = -1.5970489985714291 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621323.139137
mp-30140,band_gap,4.1443,mp-30140,band_gap,mp-30140: band_gap = 4.1443 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621324.3190038
mp-30140,formation_energy_per_atom,-0.836349655000001,mp-30140,formation_energy_per_atom,mp-30140: formation_energy_per_atom = -0.836349655000001 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621325.796184
mp-1232276,band_gap,0.4328,mp-1232276,band_gap,mp-1232276: band_gap = 0.4328 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621327.4324071
